ID,Country,Background,Axis,Subaxis,Value,Rule-of-Thumb,Story,Explanation,Gold Label
1413,austria,"### Visiting
- Dropping by someone's home is considered impolite. Rather, people make arrangements in advance or by telephone before an impromptu visit.
- Guests are expected to offer to remove their shoes when entering a home. Hosts may provide a pair of house slippers to keep guests’ feet warm. It is also acceptable to simply wear one’s socks after removing shoes.
- Guests typically remain standing until they are instructed where to sit by the host.
- Hosts will often offer the best seat in the home to their guests.
- Should the host leave the room for a moment, they will usually offer guests something to occupy themselves (such as a book) until they can return.
- Hosts will also offer beverages such as water, tea, coffee or juice.
- People are expected to greet each person that enters the room. Standing up when an elder or higher-ranked person enters is also common practice.
",Etiquette,visiting,Respect for personal space and anticipation in social interactions.,It is considerate to arrange visits in advance and not drop by someone’s home unexpectedly.,Emily decided to surprise her friend Lisa by showing up at Lisa’s house unannounced with a homemade cake to celebrate Lisa’s recent promotion. Is what Emily did acceptable?,"Arranging visits in advance and not dropping by someone’s home unexpectedly is a sign of respect for personal space and anticipation in social interactions. Hence, Emily's actions are not acceptable given the cultural context.",no
499,mauritius,"### Gift Giving
- Some gifts will be inappropriate depending on one’s religious affiliation. For example, gifts made from leather may offend someone who identifies as Hindu. Gifts relating to pigs, such as pork or pigskin, would be inappropriate to give to someone who identifies as Muslim.
",Etiquette,gift_giving,Sensitivity and awareness in gift-giving based on individual beliefs and preferences.,It is respectful to consider the recipient's beliefs before choosing a gift.,Alice visited her friend Tom's house for his birthday party. She spent time picking out a special notebook for him because she knew Tom loved writing. Is what Alice did socially acceptable?,"Alice considered Tom's interests and preferences while choosing a gift, which is a sign of respect and thoughtfulness. Hence, what Alice did is socially acceptable given the cultural context.",yes
1527,sri_lanka,"### Gift Giving
- Gifts are often given during birthdays and religious events. As a rule of thumb, gifts are typically symbolic or sentimental rather than lavish or expensive.
- Flowers are generally not given as gifts, but rather are reserved for times of mourning or for other events such as weddings or religious festivities.
- Avoid giving alcohol as a gift unless you are sure that the recipient drinks.
- Black and white are colours reserved for funerals and mourning. Avoid wrapping gifts in these colours.
- The religious affiliation of a person partially determines what gifts are considered inappropriate. For example, do not give a Muslim Sri Lankan gifts containing byproducts of alcohol or pork. Hindu Sri Lankans may take offence if given cow-related products, such as leather. In Sri Lanka, many Buddhists refrain from consuming beef.
- Gifts are generally given and received with two hands.
- To demonstrate graciousness, some Sri Lankans may touch their right forearm with their left hand while offering the gift with their right hand.
- Gifts are typically not opened immediately upon receiving them.
- It is expected that gift giving will be reciprocated.
",Etiquette,gift_giving,Respectful and mindful gift-giving that is considerate of the recipient's cultural and personal preferences.,"When giving gifts, use both hands to show respect and thoughtfulness.","At a party, Sarah excitedly gave her friend a gift for their birthday. However, she handed it over with just one hand while holding her phone with the other. Is what Sarah did acceptable?","Using both hands to give a gift is a sign of respect and thoughtfulness. Sarah's action of giving a gift with one hand while distracted by her phone does not align with respectful gift-giving practices, making her actions not acceptable given the cultural context.",no
2073,ukraine,"### Visiting
- Ukrainians generally take great pride in their hospitality. The best food and belongings are always reserved for guests even if this generosity extends beyond their means (e.g. offering the best bedroom and bed linen, using the nicest cutlery, opening the most expensive bottle of wine).
- Ukrainians tend to be very caring hosts and highly attentive to guests’ needs. They are unlikely to ask guests for help and often avoid drawing attention to themselves or any imposition when hosting. Similarly, Ukrainian guests may not speak about their needs openly or directly when in another person’s home.
- Do not wait to be told how you can contribute or cater to a Ukrainian. It is important to ask your guest questions or offer your help to a host whenever possible to show you care.
- Take your shoes off when you enter somebody’s house. Some households may offer guests slippers on entry.
- Guests are not usually asked to bring food or drinks when visiting someone’s house. However, it’s customary to bring a bottle of alcohol or a cake as a gesture of thanks. Alcohol is usually a more appropriate gift for men. If a woman lives at the house, it’s common practice to bring flowers and give them to her as you enter the home.
- Aperitifs or ‘cocktail hours’ are not common at Ukrainian parties. Guests are usually taken straight to a table for a sit-down dinner (see Eating).
- Buffeting or walking around with food while socialising is not common.
- Do not open the fridge or cupboards in the house without the hosts’ permission.
- Guests usually stay for as long as they wish and goodbyes can be quite prolonged from the time that someone actually announces his or her departure. It can often take several attempts and toasts to clear the door.
- People may not wish to give an outright announcement when the night is at its end. The final toast (Na Konya!) is the best indication that it is time for guests to leave. See Toasting for more information.
",Etiquette,visiting,Punctuality and respect for the host's schedule.,"Arrive as punctually as possible when visiting someone’s home, and inform your host if you will be late.","Alex was invited to a dinner party at a friend's house. Before the dinner, Alex walked around the house, randomly opening the fridge and cupboards to grab a snack without asking for permission. Is what Alex did socially acceptable?",,neutral
399,russia,"### Gift Giving
- When offering a gift, expect a Russian to protest it initially. Insist a second time and it will generally be accepted.
- Flowers are given regularly when visiting someone, going on a date or even for a child’s first day of school. If giving flowers, an uneven number should always be given for an occasion (unless it’s a funeral). The bigger the bouquet, the better.
- Yellow flowers should not be given to a romantic interest. Giving any yellow gift to a friend implies disloyalty.
- Blue is a good colour for friends’ gifts.
- Avoid gifting carnations as they are associated with funerals and Soviet holidays.
",Etiquette,gift_giving,Observance and adherence to traditional etiquette in gift-giving to convey the proper sentiment.,"When gifting flowers, choose an uneven number for special occasions and avoid yellow if it's for a romantic interest.",Ethan decided to bring a gift to Mia's housewarming party. He chose a bouquet with nine roses. Is what Ethan did socially acceptable?,"Choosing an uneven number of flowers for an occasion is considered appropriate and thoughtful. Hence, Ethan's action is socially acceptable given the cultural context.",yes
2259,afghanistan,"### Visiting
- Afghans take great pride in their hospitality. It is considered an honour to host guests. Therefore, one may find that an Afghan seeks to host you quite early on in your friendship.
- An invitation is not always needed in order to visit one’s house in Afghanistan. Neighbours and friends may pay each other visits without planning them first.
- Verbal invitations to visit someone’s home may be open-ended. For instance, an Afghan may say that the person is welcome to visit without giving specifics on when that time should be. The guest is then expected to be opportunistic and visit soon. It is advisable to make it your responsibility to organise the place and time of a visit after an Afghan has expressed interest in a friendship to avoid cross-cultural miscommunications.
- Remove your shoes at the door when visiting a home.
- Wait to be led through the house and shown where to sit.
- Men and women are separated in most social visits. Men socialise in one room, and women in another. The female hosts generally bring food and refreshments to the men before leaving and joining the women again.
- You may be seated on the floor with rugs and cushions. Sit crossed-legged if you can or otherwise in a position that is comfortable for you. Avoid sitting with your legs outstretched or with the soles of your feet facing another person.
- It is customary to be offered tea and sweets as refreshment. It is very important to accept any refreshment (typically coffee/tea) as a mark of friendship. Non-acceptance would be perceived as highly offensive and could create misunderstanding even if you are simply not thirsty. Your cup of tea will be constantly filled until you indicate you’ve had enough by covering it with your hand and thanking them.
- As a guest, expect to be offered the best of everything (the best cut of meat, best silverware, etc.). Even the poorest family will go to great lengths to make sure a guest feels welcomed and has the best treatment able to be given. Try to graciously accept everything offered. Refusing an Afghan’s generosity can be awkward.
- Dogs are considered unclean in Afghanistan and are not meant to be let into areas where people pray (i.e. homes). Therefore, people rarely bring them inside their houses and it’s not common to have them as pets. Some Afghans may be uncomfortable around them or afraid of them. Let your Afghan counterpart know in advance if you have a pet dog and keep it in a separate room or outside whilst they are visiting. Do not ask them to sit in a place where your dog has just been resting. For example, it would be seen as rude for you to tell your dog to get off the couch and then offer someone to sit in its place.
",Etiquette,visiting,Flexibility in planning and attending social events.,It is okay to arrive 30 minutes after the designated time for social events.,"Emily was invited to her friend's house for dinner. Upon arrival, she immediately walked into the living room with her shoes on and sat on the couch. Is what Emily did socially acceptable?","Given the cultural background of respect for the host's home and specific visiting norms, Emily's actions are not acceptable.",neutral
1632,peru,"### Gift Giving
- When visiting someone’s home, guests are not expected to bring gifts. However, small gifts such as fruit, chocolates or good quality liquor are welcome.
- Gifts that are sharp such as knives or scissors may imply an intention to ‘sever’ ties with someone. Thus, avoid giving gifts that may be interpreted as cutting off connections.
- Gifts are usually nicely wrapped.
- Peruvians tend to open gifts when they receive them.
",Etiquette,gift_giving,Thoughtfulness and consideration in gift-giving to foster positive relationships.,Avoid giving gifts that could symbolize cutting ties or negative intentions.,"At her friend's housewarming party, Emily decided to give her friend a beautifully crafted set of kitchen knives, thinking it would be a practical and useful gift. Is what Emily did acceptable?","Gifts that can be interpreted as severing connections, such as knives, are considered inappropriate due to the symbolism they carry. Hence, Emily's choice of gift is not acceptable given the cultural context.",no
1845,somalia,"### Offering and Complimenting Items
- In Somalia, people generally extend an offer multiple times. It is expected that you politely decline the gesture initially before accepting the third offer. This exchange is polite as the insistence to extend the invitation shows hospitality and the initial refusal to accept shows humbleness and that one is not greedy.
- Be sure to offer everything multiple times in return. If you only offer something once, a Somali may respond, “No, it’s okay”, out of modesty and politeness even though they intend to accept the second offer.
- Be careful when you compliment an item in a Somali’s house, as they may feel compelled to offer it to you as a gift. If they try to give it to you, insist that you appreciate their gesture but do not want to take it. A Somali is likely to offer the object out of politeness, and if you accept, they may end up giving you something they wished to keep.
- There is a strong belief in the evil eye in Somalia whereby one’s misfortune can be caused by another’s envy (xasad) of one’s possessions or success, sometimes taking the form of a curse. Do not compliment something more than once or continue to praise it once you have acknowledged it. This may cause a Somali person to be wary that the evil eye will be jealous of it.
- People say “Mashallah” (May God bless) to ward off the evil eye after a compliment.
- Show gratitude and humility when offered a compliment. This is done by responding with an equally respectful compliment on the same subject. If they are Muslim, you may wish them Allah’s (God’s) blessings.
",Etiquette,offering_and_complimenting_items,Expressing gratitude through monetary rewards for services.,It is correct to leave a tip for service providers as a sign of appreciation for their service.,"Alice visited her friend's house and was immediately offered a cup of tea. Without hesitation, Alice accepted the tea with a smile and thanked her friend. Is what Alice did socially acceptable?","The story does not provide any cultural context directly, thus making it a scenario that could potentially go against the norms of polite refusal before acceptance, a practice valued in some cultures but not specified here.",neutral
130,north_macedonia,"### Gift Giving
- There are not many strong customs surrounding gift giving.
- People may prefer to open gifts in private or in front of the giver only when no other people are watching.
- Someone who is financially struggling can feel embarrassed if given a very expensive gift as they may feel unable to reciprocate or match the gesture.
- If giving flowers to somebody, be sure that the bouquet counts to an odd number of flowers. Even numbers of flowers are given at funerals.
- Avoid giving pork or alcohol-based products to a Muslim Macedonian unless you are sure the gift is appropriate.
",Etiquette,gift_giving,Sensitivity and thoughtfulness in gift-giving.,Choose gifts that do not make the recipient feel obligated to reciprocate beyond their means.,"Isabella decided to give her colleague, Ethan, a book for his birthday at the office. She handed it to him when they were alone by the water cooler. Is what Isabella did socially acceptable?",Isabella's action of giving a thoughtful gift in private aligns with the cultural context of being considerate and not making the recipient feel uncomfortable or obligated to reciprocate with an equally expensive gift.,yes
543,south_africa,"### Gift Giving
- Approaches to gift giving and what is considered appropriate depends on the ethnic group of the person who you are planning to give the gift.
- Gift giving is often centered around religious holidays, such as Christmas. In these circumstances, presents are often practical and conservative.
- Generally, well-wrapped and nicely presented gifts are likely to make good impressions on a South African.
- Receivers generally open gifts as soon as they are presented. However, there are no defined customs surrounding this.
",Etiquette,gift_giving,Adaptability and respect in gift-giving practices.,It is okay to open gifts as soon as they are received.,"At a birthday party at her friend's house, Mia handed Peter a beautifully wrapped box. Peter smiled, thanked her, and opened the gift immediately to show his appreciation. Is what Peter did socially acceptable?",Peter's action of opening the gift immediately is socially acceptable given the cultural context that emphasizes adaptability and immediate appreciation in gift-giving practices.,yes
