ID,Country,Background,Axis,Subaxis,Value,Rule-of-Thumb,Story,Explanation,Gold Label
815,saudi_arabia,"### Visiting
- Saudi Arabians have a tendency to display their wealth and materialism in their personal dress, items, homes and hospitality. It is common for people to overdress for events. If a host is not overly generous, guests might be offended or think that the person is ‘cheap’.
- Saudi Arabians can offer invitations to their homes multiple times and quite early on in a friendship. It is a sign of goodwill to accept.
- It is inappropriate to invite someone of the opposite gender for a private visit to one’s home without an accompaniment.
- Unaccompanied men should avoid visiting another Saudi man’s home without giving the family prior notice in case they accidentally intrude on the women of the house.
- If a Saudi Arabian wishes for an entire family to visit their home, the male head of the family will generally extend the invitation to the other family’s eldest male.
- Remove your shoes when you enter a Saudi Arabian home (especially on carpeted floors), unless instructed otherwise.
- The genders are generally segregated during visits. In Saudi Arabia, many households have two different ‘majlis’ (living room/place of sitting/private place for discussion) so men and women can socialise separately.
- Once segregated from the men, the women of both families can unveil in front of one another.
- Men give women notice before entering an area of the house where unrelated women are socialising to give them time to cover up. For example, if a sister has her female friends visiting, her brother will announce “Ya allah!” before he walks in the room.
- Male guests are usually served by the youngest son or a male domestic worker, while female guests are served by the youngest daughter or a female maid.
- It is customary to be offered Arabic coffee and dates upon arrival. Coffee is often served in a ‘finjan’ (small cup).
- It is good to accept any drink offered as a mark of friendship. Refusing a refreshment could create a misunderstanding around the friendship even if you are simply not thirsty.
- Coffee is followed by a sweet of some kind, usually a mint and/or ginger tea.
- Hosts will continue to refill guest’s cups until the guest indicates they’ve had enough by covering the mouth of the cup with their hand or gently shaking the cup from side to side and saying “Bas” (Enough).
- It is improper/unclean for people to drink out of the same cup.
- Hosts may light ‘Oud’ or agawood (a form of incense or oil) during a guest’s visit.
",Etiquette,visiting,Respect for hospitality customs and gender-specific social norms.,"It is appropriate to express gratitude and participate in the customs of the host, including gender-specific social norms and accepting refreshments as offered.","At a dinner gathering, Jacob arrived at Daniel's house. They greeted and then went into separate rooms based on gender for socializing. When offered a drink, Jacob accepted it, expressing his thanks. Is what Jacob did socially acceptable?","Jacob expressed gratitude and participated in the customs of the host, including gender-specific social norms and accepting refreshments as offered, which is considered appropriate behavior in this context.",yes
1521,sri_lanka,"### Visiting
- Sri Lankans tend to be noticeably hospitable and welcoming when having guests visit their homes.
- It is common practice to remove one’s shoes before entering someone’s home.
- Sri Lankans generally socialise before a meal. It is best not to arrive to a Sri Lankan’s house feeling hungry as you may not eat until a few hours later.
- Try to accept any refreshments offered, as refusing them is considered impolite.
- Although strict punctuality is generally not observed, it is considered to be a symbol of dedication and respect if one tries to be as punctual as possible.
",Etiquette,visiting,Respect and understanding of the host's cultural norms related to hospitality and time.,Accepting refreshments offered by a host is seen as a sign of respect and appreciation.,"Mia was invited to a friend's house. Upon arrival, her friend offered her a cup of tea, but Mia declined, saying she wasn't thirsty. Is what Mia did acceptable?","In this cultural context, declining refreshments can be seen as impolite, indicating Mia's actions are not acceptable given the cultural context.",no
321,myanmar,"### Gift Giving
- Gifts may be given to pay one’s respects to someone that is superior to them (an action known as ‘gadaw’). For example, children may give gifts to their teachers, and the public often give gifts to monks.
- Offer and receive gifts with both hands together.
- Gifts are not opened immediately upon receiving them. This can be seen as greedy on the receiver’s behalf.
- Be aware that Myanmar has guidelines surrounding gift giving among professionals to reduce corruption.
- It is best not to give people gifts of a very high value. This can put them in an awkward position by which they feel they cannot accept it.
",Etiquette,gift_giving,Respect and humility in giving and receiving gifts.,"Use both hands when offering and receiving gifts, and do not open gifts immediately.","At a year-end office party, Emily presented a small, thoughtfully chosen gift to her manager, Tom, using both hands. Tom, accepting the gift with both hands, placed it on the side without opening it. Is what Tom did socially acceptable?","Using both hands to give and accept a gift, as well as not opening it immediately, is a sign of respect and humility. Thus, Tom's actions are socially acceptable given the cultural context.",yes
475,ireland,"### Gift Giving
- When invited to a friend's or relative's home, it is common to bring a small gift (e.g. flowers, wine or chocolates) as a token of appreciation.
- Gifts are typically exchanged on birthdays and Christmas.
- The thought of a gift is considered more important than its material worth.
- Gifts are usually opened when received.
",Etiquette,gift_giving,Thoughtfulness in gift-giving to strengthen relationships.,"Giving a thoughtful token of appreciation when visiting someone’s home, regardless of the occasion.","Sarah was invited to a dinner at Mark's house. She brought a small potted plant as a gift, showing her appreciation for the invitation. Is what Sarah did socially acceptable?","Given the cultural context, bringing a small gift as a token of appreciation when invited to someone's home is considered thoughtful and enhances social bonds. Hence, what Sarah did is socially acceptable.",yes
1732,israel,"### Gift Giving
- If your counterpart is Muslim, avoid giving and receiving objects with your left hand. Use your right hand or both hands.
- When invited to someone’s home, it is polite to bring a gift. If they are Jewish, a bottle of high-quality wine, flowers or fruits are appropriate. Avoid giving alcohol to a Muslim unless you have been assured that they drink.
- Avoid giving pig-related products (such as pork or pig leather) as a gift to Jewish or Muslim Israelis.
- If visiting a Jewish home, a thoughtful gift may be a mezuzah (a small decorative case containing a common Jewish prayer written on parchment). However, if you give a mezuzah with a scroll inside, be sure it is from a reputable source to ensure it is in line with Jewish law.
- Material gifts are not always highly regarded. Rather, Israelis tend to appreciate gifts that are an act, such as hosting someone for dinner.
",Etiquette,gift_giving,"Sensitivity and respect in the context of gift-giving, recognizing and honoring the recipient's cultural and personal preferences.","When giving a gift, consider the recipient's personal preferences and cultural background to select an appropriate and respectful present.","At a dinner party hosted by Sarah, James decided to bring a surprise gift. He chose a beautiful leather wallet he found during his travels. Is what James did acceptable?","Selecting a gift without considering the recipient's cultural and personal preferences may lead to discomfort or offense, especially if the gift contradicts their cultural norms or personal beliefs. Hence, James's actions are not acceptable given the cultural context.",no
933,zimbabwe,"### Visiting
- When visiting a Zimbabwean’s house, it is the norm to arrive with a small gift for the host. Food is usually appropriate.
- It is not usually necessary to take off your shoes when entering a home. However, remove your hat.
- Expect to be offered refreshments of tea or coffee at any visit and accept the gesture out of politeness.
",Etiquette,visiting,Respect and appreciation for the host's hospitality.,Bringing a small gift when visiting someone's home and accepting offered refreshments as a gesture of politeness.,"Alice was invited to Sam's house for the first time. Upon arrival, Alice walked into Sam's home empty-handed and declined the coffee Sam offered, saying she wasn't much of a coffee drinker. Is what Alice did acceptable?","Bringing a small gift and accepting refreshments when offered are signs of respect and appreciation for the host's hospitality. Hence, Alice's actions are not acceptable given the cultural context.",no
36,philippines,"### Visiting
- Do not refer to the woman of the house as ‘hostess’ as this has an alternative meaning in the Philippines that is offensive.
- It is common practice to remove one’s shoes before entering someone’s home. The host may offer you slippers to wear inside the home.
- Try to accept any refreshments offered. Refusing them is considered impolite.
- To display their hospitality, Filipinos will often use their finest crockery and cutlery when they have a visitor. It would be polite to comment on it out of acknowledgement for their efforts.
- If there is a visitor, Filipinos are reluctant to take the last serving of any shared food served at a meal.
- If someone is eating and someone walks past, many Filipinos will offer the person passing by to stop and eat. However, this is not a literal offer but rather out of respect.
",Etiquette,visiting,Respect and appreciation for the host's hospitality and efforts.,It is considerate to accept refreshments offered by the host and to express appreciation for the hospitality shown.,"During her visit to Daniel's house, Emily was offered a glass of lemonade, which she gladly accepted. She also complimented the beautiful dinnerware that was set on the table. Is what Emily did socially acceptable?","Emily's actions of accepting the refreshment and complimenting the dinnerware are signs of appreciation for the host's hospitality, which is socially acceptable given the cultural context.",yes
2600,sudan,"### Visiting
- Hospitality is central to Sudanese culture. It is considered shameful to be a bad host or give a poor welcome. People feel a duty to offer anything else within their means. Even if a family has no food to provide a guest, they are expected to at least offer water.
- It is very important to accept any refreshment (typically coffee/tea) as a mark of friendship. Non-acceptance would be perceived as highly offensive and could create misunderstanding even if you are simply not thirsty.
- Social visiting and hosting has a great importance for building and mending relations among friends and family members. Not visiting someone for a long period of time is considered a sign of the relationship’s insignificance. People may also choose not to visit someone on purpose to indirectly reveal that they are angry/offended at something the person has done.
- If you are unable to visit a friend for a long period of time, make contact by phone to keep the relationship alive and make it known that you are not ignoring them.
- Close friends, family and neighbours may visit one another frequently unannounced, especially in rural areas. However, busy schedules mean that most visits among broader friends are planned in advance.
- Friday is the most popular day for visits, as it is a holy day of rest in Sudan.
- Guests usually arrive at mid-morning or early evening to avoid interrupting a family meal. If you do happen to arrive during meal time, you will be asked to join them at the table. In this case, only accept a small amount of food.
- Make sure your house is clean before inviting a Sudanese person over. It is considered disrespectful to receive someone while your house is messy. They may feel that you do not care about their opinion of you.
- Be mindful that a Sudanese person’s home is also their private place for prayer. Therefore, it is important to be clean and respectful.
- Remove your shoes when entering someone’s home unless advised otherwise.
- Dogs are considered unclean in Sudan and are not meant to be let into areas where people pray (i.e. homes). Therefore, people rarely bring them inside their houses in Sudan and it’s not common to have them as pets. Let your Sudanese counterpart know in advance if you have a pet dog. Do not ask them to sit in a place where your dog has just been resting. For example, it would be seen as rude for you to tell your dog to get off the couch and then offer someone to sit in its place.
- Often an entire family will come to a household and visit at once. Men and women will usually converse separately whilst children play in an area that does not disturb adults.
- In Sudan, many households have two living rooms (one for each gender) where people socialise separately.
- The Sudanese do not sit on the floor as is customary in some neighbouring cultures. They sit on chairs and couches in their living rooms.
- When it is time for a visitor to leave, the host usually walks them out to the door or gate. Conversation can continue here for a long time before the person actually leaves.
",Etiquette,visiting,Punctuality and respect for the host's time.,"Arrive as punctually as possible when invited to someone's home, and inform your host if you will be delayed.","Sarah was invited to her colleague's house for the first time. Upon arrival, she was offered a cup of tea, which she politely declined, stating she wasn't thirsty. Is what Sarah did socially acceptable?","In the context provided, declining an offered refreshment might not align with the norms of accepting hospitality as a mark of friendship and respect, hence questioning the social acceptability of Sarah's action.",neutral
891,cambodia,"### Visiting
- Cambodians are generally hospitable and enjoy hosting visitors.
- Close friends and relatives visit each other frequently and often unannounced.
- People typically arrive close to the appointed time, give or take a few minutes. However, Cambodians can be quite relaxed about punctuality.
- Footwear should be removed when entering temple complexes or someone’s house.
- If invited to a home, consider bringing nicely presented fruit, sweets, pastries or flowers. These are a welcomed token of appreciation for the host.
- Cambodians tend to offer their guests the best place to sit in their home and the best portion of food.
- Drinks such as water, tea or juice and sometimes food are often offered to visitors. To honour the host, the offer is accepted, even if the guest takes only one sip or bite.
- In the home, people often sit on the floor. Women typically tuck their legs to the side and behind them while men sit cross-legged. It is offensive to stretch one’s feet and legs out in front of others.
",Etiquette,visiting,Respecting the host’s customs and showing appreciation through actions.,"Accept any food or drink offered by the host, even if you only take a small amount.","At a dinner party at her friend's house, Emily was offered a glass of juice by her host, Sarah. Emily wasn't thirsty but she took a small sip of the juice to show her appreciation. Is what Emily did socially acceptable?","Yes, it's considered polite to accept an offer of food or drink from the host as a sign of respect and appreciation for their hospitality. Emily's action is socially acceptable given the cultural context.",yes
748,laos,"### Gift Giving
- Gifts are usually passed with the right hand. A polite way to offer a gift is to pass it with the right hand while the left hand supports the right elbow.
- It is not customary to offer a gift when visiting a Lao home. However, gifts from first-time visitors or on special occasions such as birthdays and weddings are acceptable and demonstrate extra thoughtfulness.
- Gifts are usually not opened in front of the giver.
- Thanking the giver profusely for their gift tends to be uncomfortable for both the giver and the receiver in Laos.
",Etiquette,gift_giving,Respect and thoughtfulness in gift-giving without the expectation of immediate gratitude.,Gifts should be given in a manner that does not expect them to be opened or profusely thanked for in the presence of the giver.,"During a housewarming party at Mark's place, Sarah presented Mark with a gift, using her right hand while her left hand supported her elbow. After giving the gift, she didn't expect Mark to open it in front of her. Is what Sarah did socially acceptable?","In the given cultural context, Sarah's actions are considered respectful and thoughtful, making it socially acceptable.",yes
